직원번호,이직여부,나이,성별,결혼상태,집까지거리,교육수준,전공분야,부서,직급,직무,최근승진후경과연수,총근속연수,회사근속연수,현재직무근속연수,현재상사와근속연수,이전근무회사수,월급,급여인상률,스톡옵션수준,성과평가,연간교육횟수,업무몰입도,야근여부,출장빈도,직무만족도,근무환경만족도,인간관계만족도,워라밸만족도
456,No,30,Female,Divorced,5,3,Marketing,Sales,2,Sales Executive,1,10,10,9,2,1,6118,13,3,3,2,2,No,Travel_Rarely,3,4,3,3
458,No,27,Female,Married,8,4,Marketing,Sales,2,Sales Executive,0,8,8,7,7,1,6214,18,1,3,3,3,No,Travel_Rarely,2,2,1,3
460,No,37,Male,Divorced,5,2,Medical,Research & Development,2,Manufacturing Director,0,8,6,2,4,7,6347,16,2,3,2,3,No,Travel_Rarely,4,4,3,2
461,No,38,Male,Divorced,15,2,Life Sciences,Research & Development,3,Research Director,2,12,11,10,9,0,11510,14,1,3,3,2,Yes,Travel_Rarely,4,3,2,3
462,No,31,Female,Single,7,4,Medical,Research & Development,3,Manufacturing Director,4,11,11,9,10,1,7143,14,0,3,2,3,Yes,Travel_Rarely,4,3,3,2
463,No,29,Female,Divorced,10,1,Marketing,Sales,2,Sales Executive,1,7,7,7,7,1,8268,14,2,3,2,2,Yes,Travel_Rarely,2,4,1,3
464,No,35,Male,Single,5,4,Technical Degree,Research & Development,3,Manufacturing Director,0,17,16,6,13,0,8095,13,0,3,5,3,No,Travel_Rarely,2,3,4,3
465,No,23,Male,Divorced,26,1,Life Sciences,Research & Development,1,Research Scientist,0,4,4,2,2,1,2904,12,2,3,2,3,No,Travel_Rarely,4,3,3,2
466,No,41,Male,Single,6,3,Medical,Research & Development,2,Manufacturing Director,1,8,5,4,2,6,6032,15,0,3,3,2,Yes,Travel_Rarely,2,4,4,3
467,No,47,Male,Single,4,1,Medical,Sales,2,Sales Representative,0,5,0,0,0,3,2976,19,0,3,3,3,No,Travel_Frequently,3,2,1,3
468,No,42,Female,Single,23,5,Life Sciences,Research & Development,4,Research Director,0,16,1,0,0,2,15992,14,0,3,2,3,No,Travel_Rarely,4,1,2,3
469,No,29,Male,Married,2,3,Life Sciences,Sales,2,Sales Executive,0,4,4,3,2,1,4649,14,1,3,3,3,No,Non-Travel,3,4,1,2
470,No,42,Male,Divorced,2,1,Technical Degree,Human Resources,1,Human Resources,1,4,3,2,0,0,2696,11,1,3,5,3,Yes,Travel_Rarely,3,3,3,3
471,No,32,Female,Married,2,3,Medical,Research & Development,1,Laboratory Technician,0,8,8,0,7,1,2370,13,1,3,4,3,No,Travel_Rarely,2,3,3,3
473,No,48,Female,Married,29,1,Medical,Sales,3,Manager,0,15,0,0,0,3,12504,21,1,4,3,3,No,Travel_Rarely,3,1,2,1
474,No,37,Male,Divorced,6,3,Medical,Research & Development,2,Research Scientist,6,13,7,7,7,4,5974,13,2,3,2,4,Yes,Travel_Rarely,1,3,1,3
475,No,30,Female,Married,25,2,Technical Degree,Sales,2,Sales Executive,2,4,2,2,2,7,4736,12,1,3,2,3,Yes,Non-Travel,3,4,2,4
476,No,26,Male,Married,1,3,Life Sciences,Sales,2,Sales Executive,7,8,8,7,7,1,5296,17,1,3,3,3,No,Travel_Rarely,3,3,2,3
477,No,42,Male,Single,2,4,Other,Research & Development,2,Healthcare Representative,0,14,1,0,0,3,6781,23,0,4,6,2,No,Travel_Rarely,4,1,2,3
478,Yes,21,Female,Single,1,1,Technical Degree,Sales,1,Sales Representative,1,3,3,2,2,1,2174,11,0,3,3,2,Yes,Travel_Frequently,2,1,3,3
479,No,36,Female,Single,1,5,Medical,Sales,2,Sales Executive,0,7,1,0,0,4,6653,15,0,3,6,3,No,Non-Travel,4,4,2,3
481,No,36,Male,Married,3,4,Medical,Sales,3,Sales Executive,1,16,13,9,12,4,9699,11,1,3,2,2,No,Travel_Frequently,4,1,1,3
482,No,57,Male,Married,1,4,Medical,Research & Development,2,Healthcare Representative,1,15,3,2,2,2,6755,11,0,3,2,3,No,Travel_Rarely,3,4,3,3
483,No,40,Female,Married,10,4,Life Sciences,Research & Development,1,Laboratory Technician,1,10,7,7,7,3,2213,13,1,3,3,4,Yes,Travel_Rarely,3,4,3,3
484,No,21,Male,Single,9,2,Medical,Sales,1,Sales Representative,2,3,3,2,2,1,2610,24,0,4,3,3,No,Non-Travel,4,1,3,2
485,Yes,33,Female,Single,5,3,Marketing,Sales,1,Sales Representative,0,1,1,0,0,1,2851,13,0,3,2,3,Yes,Travel_Rarely,3,4,2,3
486,No,37,Female,Married,10,3,Medical,Research & Development,1,Laboratory Technician,0,17,5,4,3,6,3452,20,1,4,3,3,No,Travel_Rarely,1,3,2,3
487,No,46,Female,Married,7,4,Medical,Research & Development,2,Manufacturing Director,0,7,1,0,0,2,5258,14,0,3,2,3,No,Non-Travel,3,3,3,4
488,Yes,41,Male,Single,4,3,Marketing,Sales,2,Sales Executive,7,8,8,7,7,1,9355,18,0,3,5,3,No,Travel_Frequently,2,1,3,3
491,No,50,Male,Single,10,3,Technical Degree,Research & Development,3,Healthcare Representative,1,20,4,3,3,6,10496,15,0,3,2,2,No,Travel_Rarely,4,4,4,3
492,Yes,40,Male,Married,22,2,Marketing,Sales,2,Sales Executive,1,8,6,4,0,2,6380,12,2,3,6,2,Yes,Travel_Rarely,3,3,1,3
493,No,31,Male,Single,9,4,Life Sciences,Research & Development,1,Research Scientist,2,3,2,2,2,0,2657,16,0,3,5,2,Yes,Travel_Rarely,2,3,4,3
494,Yes,21,Female,Single,12,3,Life Sciences,Sales,1,Sales Representative,0,1,1,0,0,1,2716,15,0,3,0,4,No,Travel_Rarely,2,3,4,3
495,No,29,Male,Single,23,3,Life Sciences,Research & Development,1,Research Scientist,1,6,3,2,2,9,2201,16,0,3,4,3,No,Travel_Rarely,4,4,4,3
496,No,35,Male,Single,9,4,Life Sciences,Research & Development,2,Healthcare Representative,0,10,1,1,0,9,6540,19,0,3,5,2,No,Travel_Rarely,2,3,3,3
497,No,27,Male,Divorced,1,2,Medical,Research & Development,1,Laboratory Technician,0,5,5,2,4,1,3816,11,1,3,2,3,No,Travel_Rarely,2,4,2,3
498,No,28,Male,Single,9,4,Life Sciences,Sales,2,Sales Executive,0,7,7,5,7,1,5253,16,0,3,1,3,No,Travel_Rarely,4,2,4,3
499,No,49,Male,Single,7,3,Other,Research & Development,3,Healthcare Representative,0,26,5,2,0,8,10965,24,0,4,2,2,No,Travel_Rarely,3,2,3,3
500,No,51,Female,Married,14,2,Life Sciences,Sales,2,Sales Executive,0,18,7,7,7,4,4936,11,1,3,2,3,No,Travel_Rarely,4,3,3,2
501,No,36,Female,Married,2,3,Life Sciences,Research & Development,1,Research Scientist,2,6,2,2,2,4,2543,13,1,3,3,3,No,Travel_Rarely,3,4,2,3
502,Yes,34,Male,Single,19,3,Marketing,Sales,2,Sales Executive,0,9,5,2,4,8,5304,13,0,3,3,4,Yes,Non-Travel,4,1,2,2
505,No,55,Female,Single,2,3,Life Sciences,Research & Development,4,Manager,1,30,5,4,2,2,16659,13,0,3,2,3,Yes,Travel_Rarely,4,3,3,3
507,No,24,Female,Divorced,10,4,Marketing,Sales,2,Sales Executive,0,5,5,2,3,1,4260,12,1,3,2,3,Yes,Travel_Rarely,3,4,4,4
508,No,30,Male,Married,2,1,Technical Degree,Sales,1,Sales Representative,0,1,1,0,0,1,2476,18,1,3,3,3,No,Travel_Rarely,2,3,1,3
510,Yes,26,Male,Single,3,1,Technical Degree,Research & Development,1,Research Scientist,0,7,6,4,4,0,3102,22,0,4,2,3,No,Travel_Frequently,1,3,3,3
511,No,22,Female,Married,11,3,Medical,Research & Development,1,Research Scientist,1,2,2,1,2,1,2244,13,1,3,1,3,No,Travel_Rarely,2,1,4,3
513,No,36,Male,Married,2,2,Medical,Sales,3,Sales Executive,9,10,10,9,0,1,7596,13,2,3,2,2,No,Travel_Rarely,3,2,2,3
514,Yes,30,Male,Single,4,3,Technical Degree,Research & Development,1,Research Scientist,0,3,1,0,0,9,2285,23,0,4,4,3,Yes,Travel_Frequently,4,3,3,3
515,No,37,Female,Divorced,14,3,Life Sciences,Research & Development,1,Laboratory Technician,12,18,18,7,17,1,3034,12,1,3,2,3,No,Travel_Rarely,1,4,3,2
516,No,40,Female,Divorced,2,2,Marketing,Sales,2,Sales Executive,1,8,5,4,3,7,5715,12,2,3,5,3,No,Travel_Rarely,2,4,3,3
517,No,42,Female,Divorced,1,4,Life Sciences,Research & Development,1,Laboratory Technician,1,8,5,2,2,3,2576,16,1,3,5,3,No,Travel_Rarely,1,2,2,3
518,No,37,Male,Single,10,4,Life Sciences,Research & Development,2,Manufacturing Director,0,18,1,0,1,2,4197,12,0,3,2,3,Yes,Travel_Rarely,2,3,4,2
520,No,43,Male,Divorced,12,3,Life Sciences,Research & Development,4,Research Director,3,25,25,10,9,1,14336,11,1,3,3,2,No,Travel_Rarely,2,1,3,3
521,No,40,Female,Married,2,3,Medical,Research & Development,2,Laboratory Technician,0,20,1,0,0,6,3448,22,1,4,3,2,No,Travel_Rarely,3,2,2,3
522,No,54,Male,Married,5,2,Medical,Research & Development,5,Research Director,1,24,4,2,2,4,19406,11,1,3,4,3,No,Travel_Rarely,1,1,3,2
523,No,34,Female,Married,4,4,Marketing,Sales,2,Sales Executive,1,6,3,2,2,9,6538,15,1,3,3,3,No,Non-Travel,3,3,1,3
524,No,31,Female,Married,7,2,Medical,Research & Development,2,Manufacturing Director,3,13,13,10,12,1,4306,12,1,3,5,3,No,Travel_Rarely,1,2,2,1
525,No,43,Male,Married,21,3,Medical,Research & Development,1,Laboratory Technician,1,8,3,2,2,7,2258,20,1,4,1,3,No,Travel_Frequently,4,4,1,3
526,No,43,Female,Divorced,8,4,Other,Research & Development,2,Healthcare Representative,0,8,5,2,2,4,4522,14,0,3,3,3,Yes,Travel_Rarely,3,3,4,3
527,No,25,Female,Single,4,2,Life Sciences,Sales,2,Sales Executive,1,5,5,4,3,1,4487,11,0,3,3,2,Yes,Travel_Rarely,4,2,2,3
529,No,37,Female,Married,25,5,Medical,Research & Development,2,Research Scientist,10,15,13,11,7,3,4449,15,2,3,2,3,Yes,Non-Travel,3,2,1,3
530,No,31,Male,Married,1,2,Life Sciences,Research & Development,1,Laboratory Technician,3,4,4,2,2,1,2218,12,1,3,3,2,No,Travel_Rarely,1,4,3,3
531,No,39,Male,Divorced,1,1,Life Sciences,Research & Development,5,Manager,1,21,21,8,6,1,19197,14,1,3,3,3,Yes,Travel_Frequently,3,2,3,3
532,No,56,Female,Married,6,3,Life Sciences,Sales,4,Sales Executive,7,36,7,7,7,9,13212,11,3,3,0,4,No,Travel_Frequently,1,3,4,2
533,No,30,Female,Single,12,3,Technical Degree,Sales,2,Sales Executive,4,6,5,4,4,0,6577,11,0,3,6,3,No,Travel_Rarely,3,2,2,3
534,No,41,Male,Married,1,3,Marketing,Sales,3,Sales Executive,0,10,10,7,7,1,8392,16,1,3,2,4,No,Travel_Rarely,1,2,3,3
536,No,28,Male,Divorced,17,2,Medical,Research & Development,2,Laboratory Technician,1,10,10,0,8,1,4558,12,1,3,2,3,No,Travel_Rarely,1,3,4,3
538,Yes,25,Male,Married,3,3,Medical,Research & Development,1,Laboratory Technician,0,6,2,2,2,5,4031,13,1,3,5,3,No,Travel_Rarely,1,1,3,3
543,No,52,Male,Married,3,3,Medical,Research & Development,3,Manufacturing Director,0,28,5,4,4,2,7969,14,0,3,4,2,Yes,Travel_Rarely,3,4,3,3
544,No,45,Male,Married,10,2,Life Sciences,Research & Development,1,Research Scientist,0,8,2,2,2,3,2654,21,2,4,3,3,No,Travel_Rarely,4,1,4,2
546,No,52,Female,Married,4,2,Life Sciences,Research & Development,4,Manager,1,31,5,2,4,2,16555,13,0,3,2,3,No,Travel_Rarely,4,4,4,1
547,No,42,Female,Divorced,29,2,Life Sciences,Research & Development,2,Research Scientist,0,19,5,4,2,2,4556,11,1,3,3,3,No,Travel_Frequently,3,1,2,3
548,No,30,Female,Single,2,3,Life Sciences,Research & Development,2,Manufacturing Director,0,11,5,4,2,2,6091,20,0,4,2,1,No,Travel_Rarely,4,3,3,3
549,No,60,Female,Married,7,3,Life Sciences,Research & Development,5,Manager,11,33,29,8,10,5,19566,11,0,3,5,3,No,Travel_Rarely,1,1,4,1
550,No,46,Female,Divorced,18,3,Medical,Research & Development,2,Manufacturing Director,0,19,10,7,8,2,4810,14,1,3,5,3,No,Travel_Rarely,3,3,3,2
551,No,42,Female,Married,28,4,Technical Degree,Research & Development,2,Healthcare Representative,0,7,6,5,4,0,4523,11,3,3,4,2,No,Travel_Frequently,4,4,4,4
554,Yes,24,Female,Single,1,1,Technical Degree,Sales,1,Sales Representative,1,6,5,3,4,1,3202,16,0,3,4,3,Yes,Travel_Rarely,2,1,2,3
555,Yes,34,Female,Divorced,6,2,Marketing,Sales,1,Sales Representative,1,3,2,2,0,0,2351,16,1,3,3,1,No,Travel_Frequently,3,4,4,2
556,No,38,Male,Married,2,2,Life Sciences,Research & Development,1,Laboratory Technician,0,1,1,0,0,1,1702,23,1,4,3,3,Yes,Travel_Frequently,4,4,3,3
558,No,40,Female,Married,2,4,Life Sciences,Sales,5,Manager,1,21,20,15,12,0,18041,14,0,3,2,3,No,Travel_Rarely,3,3,4,3
560,No,26,Female,Divorced,23,3,Life Sciences,Research & Development,1,Research Scientist,0,3,3,2,2,1,2886,22,2,4,3,3,No,Travel_Rarely,4,1,2,1
562,No,30,Male,Married,3,3,Life Sciences,Research & Development,1,Laboratory Technician,1,9,5,3,4,4,2097,15,1,3,3,3,No,Non-Travel,4,3,3,1
564,No,29,Male,Married,3,4,Medical,Research & Development,3,Research Director,0,10,10,2,7,1,11935,18,0,3,2,2,No,Travel_Rarely,3,2,3,3
565,Yes,29,Female,Married,25,5,Technical Degree,Research & Development,1,Research Scientist,1,6,2,2,1,5,2546,16,0,3,2,2,No,Travel_Rarely,2,3,2,4
566,Yes,19,Male,Single,2,2,Technical Degree,Human Resources,1,Human Resources,0,1,1,0,0,1,2564,12,0,3,3,2,No,Travel_Rarely,4,1,3,4
567,No,30,Female,Married,22,4,Other,Sales,3,Sales Executive,7,10,9,8,8,0,8412,11,0,3,3,3,No,Non-Travel,1,3,3,3
568,No,57,Male,Divorced,29,3,Marketing,Sales,4,Manager,0,32,1,0,0,3,14118,12,1,3,3,2,No,Travel_Rarely,4,1,3,2
569,No,50,Male,Married,29,4,Life Sciences,Research & Development,4,Manager,15,28,27,10,7,0,17046,15,1,3,2,2,No,Travel_Rarely,3,2,2,3
571,No,30,Female,Single,2,3,Medical,Research & Development,1,Laboratory Technician,6,12,11,7,7,0,2564,14,0,3,2,3,No,Non-Travel,4,3,3,2
573,No,60,Female,Married,28,3,Marketing,Sales,3,Sales Executive,13,22,18,13,11,4,10266,19,0,3,5,2,No,Travel_Frequently,1,3,4,4
574,No,47,Female,Divorced,2,2,Medical,Research & Development,2,Manufacturing Director,0,20,5,0,4,5,5070,13,3,3,2,3,No,Travel_Rarely,4,1,3,3
575,No,46,Male,Married,2,3,Life Sciences,Research & Development,4,Research Director,0,26,3,2,1,6,17861,13,0,3,2,3,No,Travel_Rarely,3,1,3,1
577,No,35,Male,Single,22,3,Life Sciences,Research & Development,1,Laboratory Technician,4,6,5,4,3,0,4230,15,0,3,2,1,No,Travel_Rarely,3,4,3,3
578,No,54,Female,Single,8,4,Life Sciences,Research & Development,2,Laboratory Technician,0,19,1,0,0,7,3780,11,0,3,3,3,No,Travel_Rarely,3,3,3,3
579,No,34,Male,Divorced,2,4,Life Sciences,Research & Development,1,Research Scientist,5,14,7,3,7,3,2768,12,1,3,3,2,No,Travel_Rarely,3,4,3,3
580,No,46,Female,Married,10,3,Marketing,Sales,3,Sales Executive,1,15,3,2,2,2,9071,19,1,3,3,2,Yes,Travel_Rarely,4,3,3,3
581,No,31,Male,Divorced,9,1,Life Sciences,Research & Development,3,Manufacturing Director,0,13,13,8,8,1,10648,25,1,4,6,3,No,Travel_Rarely,2,3,4,4
582,Yes,33,Male,Married,15,1,Medical,Research & Development,3,Manager,7,15,7,6,7,7,13610,12,0,3,2,3,Yes,Travel_Rarely,3,2,4,4
584,Yes,33,Male,Divorced,10,1,Medical,Research & Development,1,Laboratory Technician,1,8,4,3,3,7,3408,13,3,3,2,1,No,Travel_Rarely,4,1,1,3
585,No,30,Male,Single,7,1,Marketing,Sales,1,Sales Representative,1,4,3,2,2,0,2983,14,0,3,3,3,No,Travel_Rarely,2,4,1,3
586,No,35,Male,Married,16,3,Life Sciences,Research & Development,3,Healthcare Representative,0,10,8,7,0,4,7632,12,0,3,2,3,Yes,Travel_Rarely,3,4,3,3
587,Yes,31,Male,Married,20,3,Life Sciences,Research & Development,3,Healthcare Representative,0,12,1,0,0,3,9824,12,0,3,2,3,No,Travel_Frequently,3,1,1,3
590,Yes,34,Female,Divorced,23,3,Human Resources,Human Resources,3,Human Resources,0,11,3,2,2,9,9950,15,3,3,2,3,Yes,Travel_Frequently,1,2,3,3
591,No,42,Male,Married,5,2,Other,Research & Development,1,Laboratory Technician,2,8,2,2,0,4,2093,17,1,3,4,3,No,Travel_Frequently,3,2,4,3
592,No,36,Male,Single,10,4,Medical,Sales,3,Sales Executive,9,10,10,3,7,1,9980,14,0,3,3,3,No,Non-Travel,4,2,4,2
593,Yes,22,Male,Single,4,1,Technical Degree,Research & Development,1,Laboratory Technician,1,4,2,2,2,5,3894,16,0,3,3,2,No,Travel_Frequently,3,3,3,3
595,No,48,Female,Married,2,5,Marketing,Sales,2,Sales Executive,6,14,9,7,7,2,4051,14,1,3,2,3,No,Travel_Rarely,4,2,1,3
597,No,55,Female,Single,18,5,Life Sciences,Sales,4,Manager,7,37,10,9,7,3,16835,23,0,4,2,3,No,Travel_Rarely,2,1,4,3
599,No,41,Male,Single,10,2,Life Sciences,Sales,2,Sales Executive,1,16,14,3,10,7,6230,14,0,3,3,3,No,Non-Travel,4,4,4,3
600,No,35,Male,Married,1,3,Marketing,Sales,2,Sales Executive,6,15,11,9,9,9,4717,11,0,3,2,3,No,Travel_Rarely,3,2,3,3
601,No,40,Female,Single,6,3,Life Sciences,Research & Development,4,Manufacturing Director,5,22,20,6,13,7,13237,15,0,3,3,3,No,Travel_Rarely,3,2,3,3
602,No,39,Female,Married,8,1,Life Sciences,Research & Development,1,Laboratory Technician,0,8,8,3,7,1,3755,11,1,3,3,3,No,Travel_Frequently,3,3,1,3
604,No,31,Male,Single,2,1,Life Sciences,Sales,2,Sales Executive,0,10,6,5,5,4,6582,13,0,3,2,3,Yes,Travel_Rarely,4,2,3,4
605,No,42,Male,Married,24,3,Medical,Research & Development,3,Manufacturing Director,5,10,10,9,8,1,7406,21,1,4,5,3,Yes,Travel_Rarely,1,4,4,2
606,No,45,Male,Married,2,3,Other,Sales,2,Sales Executive,3,9,8,7,7,0,4805,19,1,3,3,3,No,Travel_Rarely,2,4,2,4
608,Yes,26,Female,Divorced,17,4,Life Sciences,Human Resources,1,Human Resources,1,8,7,7,0,0,2741,11,1,3,2,3,Yes,Travel_Frequently,3,2,2,2
611,No,29,Male,Divorced,19,3,Technical Degree,Research & Development,2,Manufacturing Director,1,8,3,2,2,4,4262,12,2,3,2,3,No,Travel_Rarely,4,4,2,4
612,No,33,Female,Divorced,1,5,Medical,Research & Development,4,Research Director,0,10,6,1,5,4,16184,19,1,3,2,4,No,Travel_Rarely,3,1,3,3
613,No,31,Male,Divorced,7,3,Life Sciences,Sales,3,Manager,0,10,5,4,1,9,11557,21,1,4,3,2,No,Travel_Rarely,4,3,3,2
614,Yes,18,Male,Single,5,3,Marketing,Sales,1,Sales Representative,0,0,0,0,0,1,1878,14,0,3,3,3,Yes,Travel_Frequently,2,2,4,3
615,No,40,Male,Divorced,28,3,Other,Sales,3,Sales Executive,0,20,1,0,1,3,10932,15,1,3,2,1,No,Non-Travel,1,3,3,3
616,No,41,Female,Single,2,4,Other,Research & Development,2,Healthcare Representative,0,10,8,7,7,2,6811,17,0,3,3,2,Yes,Non-Travel,3,1,1,3
618,No,26,Male,Divorced,29,2,Medical,Sales,2,Sales Executive,0,8,0,0,0,5,4306,12,2,3,5,3,No,Travel_Rarely,3,1,1,3
620,No,35,Female,Single,1,3,Medical,Sales,2,Sales Executive,0,5,5,4,3,1,4859,16,0,3,3,3,No,Travel_Rarely,3,1,4,3
621,No,34,Male,Single,21,4,Life Sciences,Sales,2,Sales Executive,5,10,10,7,7,1,5337,12,0,3,3,4,No,Travel_Rarely,4,4,4,3
622,Yes,26,Male,Single,24,3,Technical Degree,Research & Development,1,Laboratory Technician,0,1,1,0,0,1,2340,18,0,3,3,1,Yes,Travel_Rarely,4,3,2,1
623,No,37,Female,Single,1,3,Technical Degree,Research & Development,3,Manufacturing Director,1,12,6,5,2,4,7491,17,0,3,3,3,No,Travel_Rarely,4,2,4,4
624,No,46,Female,Married,18,1,Medical,Research & Development,3,Healthcare Representative,1,28,2,2,2,5,10527,11,0,3,3,3,No,Travel_Frequently,3,1,4,2
625,No,41,Female,Married,2,5,Life Sciences,Sales,4,Manager,11,22,18,16,8,7,16595,16,1,3,2,3,No,Travel_Rarely,1,2,2,3
626,No,37,Male,Divorced,9,4,Medical,Sales,3,Sales Executive,7,9,9,5,7,1,8834,13,1,3,6,3,No,Non-Travel,2,1,4,3
630,No,52,Male,Divorced,6,2,Technical Degree,Research & Development,2,Research Scientist,6,18,10,9,9,3,5577,12,2,3,3,3,Yes,Travel_Rarely,1,4,2,3
631,Yes,32,Male,Married,11,4,Other,Sales,2,Sales Executive,1,6,4,2,2,8,4707,12,0,3,2,4,No,Non-Travel,3,4,4,3
632,No,24,Male,Married,24,3,Medical,Sales,1,Sales Representative,2,3,2,2,1,0,2400,13,2,3,3,3,No,Travel_Frequently,4,4,3,3
634,No,38,Female,Married,10,3,Medical,Research & Development,2,Healthcare Representative,0,18,1,0,0,3,9824,19,1,3,4,3,No,Travel_Rarely,3,3,3,3
635,No,37,Female,Married,1,4,Life Sciences,Research & Development,2,Manufacturing Director,4,8,6,5,3,6,6447,12,1,3,2,3,No,Travel_Rarely,2,2,2,2
638,No,49,Male,Divorced,18,4,Life Sciences,Research & Development,5,Research Director,0,31,31,9,9,1,19502,17,1,3,5,2,Yes,Travel_Rarely,3,4,3,3
639,No,24,Male,Married,23,3,Medical,Research & Development,1,Research Scientist,1,6,6,5,4,1,2725,11,2,3,3,4,Yes,Travel_Rarely,4,2,2,3
641,No,26,Male,Married,28,2,Marketing,Sales,2,Sales Executive,1,6,5,3,4,1,6272,20,2,4,5,3,No,Travel_Rarely,2,1,4,4
643,No,24,Male,Married,17,2,Other,Research & Development,1,Laboratory Technician,0,1,1,0,0,1,2127,21,1,4,2,2,No,Travel_Rarely,2,4,4,3
644,No,50,Male,Married,3,3,Medical,Human Resources,5,Manager,10,32,32,5,7,1,18200,11,1,3,2,3,No,Travel_Frequently,2,1,3,3
645,No,25,Male,Married,13,1,Medical,Sales,1,Sales Representative,0,7,7,4,6,1,2096,11,0,3,1,3,No,Travel_Rarely,3,2,3,3
647,Yes,24,Female,Married,7,3,Life Sciences,Research & Development,1,Laboratory Technician,1,6,6,3,2,1,2886,16,1,3,4,3,Yes,Travel_Frequently,3,1,4,3
648,Yes,30,Male,Married,12,4,Life Sciences,Sales,1,Sales Representative,0,1,1,0,0,1,2033,18,1,3,2,2,No,Travel_Frequently,1,2,3,4
649,No,34,Male,Married,1,2,Life Sciences,Research & Development,1,Research Scientist,1,6,6,5,3,1,3622,13,1,3,3,2,Yes,Travel_Rarely,4,2,4,3
650,Yes,31,Male,Divorced,13,4,Medical,Sales,2,Sales Executive,1,9,3,1,2,2,4233,17,0,3,2,3,No,Travel_Rarely,1,2,3,1
652,No,35,Male,Single,25,2,Other,Research & Development,2,Laboratory Technician,0,9,3,2,2,4,3681,14,0,3,3,2,No,Travel_Rarely,4,1,4,3
653,No,31,Male,Divorced,6,4,Medical,Sales,2,Sales Executive,5,13,7,7,7,4,5460,22,2,4,4,4,No,Travel_Rarely,4,1,4,4
655,No,27,Female,Divorced,6,4,Medical,Research & Development,1,Research Scientist,0,6,5,3,3,0,2187,12,2,3,5,2,No,Travel_Rarely,3,1,3,2
656,No,37,Male,Married,2,3,Marketing,Sales,2,Sales Executive,1,17,3,0,0,4,9602,11,1,3,3,3,Yes,Travel_Rarely,3,4,3,2
657,No,20,Female,Single,1,3,Life Sciences,Research & Development,1,Research Scientist,0,1,1,0,0,1,2836,13,0,3,0,2,No,Travel_Rarely,2,4,4,4
659,No,42,Female,Married,2,4,Life Sciences,Research & Development,2,Healthcare Representative,2,10,10,2,2,1,4089,13,2,3,4,3,No,Travel_Rarely,4,3,2,3
661,No,43,Male,Divorced,6,4,Other,Research & Development,4,Research Director,0,21,1,0,0,4,16627,14,1,3,3,2,Yes,Travel_Rarely,4,2,3,2
662,No,38,Female,Single,1,1,Life Sciences,Research & Development,1,Research Scientist,0,8,0,0,0,3,2619,17,0,3,3,3,No,Travel_Rarely,1,3,4,2
663,No,43,Male,Divorced,9,5,Medical,Research & Development,2,Laboratory Technician,4,10,8,7,7,3,5679,13,1,3,3,3,Yes,Travel_Frequently,3,4,2,3
664,No,48,Female,Married,1,4,Life Sciences,Research & Development,4,Manager,0,21,3,2,2,7,15402,11,1,3,3,2,No,Travel_Rarely,1,4,1,1
665,No,44,Female,Single,1,4,Life Sciences,Human Resources,2,Human Resources,0,10,2,2,2,4,5985,11,0,3,1,2,No,Travel_Rarely,3,1,2,4
666,No,34,Female,Divorced,14,3,Technical Degree,Sales,1,Sales Representative,0,8,8,2,6,1,2579,18,2,3,3,3,Yes,Travel_Rarely,3,3,4,3
667,Yes,27,Male,Divorced,2,1,Marketing,Sales,1,Sales Representative,0,5,4,3,2,0,3041,11,1,3,3,3,No,Travel_Rarely,1,3,2,3
669,No,21,Male,Single,22,1,Technical Degree,Sales,1,Sales Representative,1,3,3,2,2,1,3447,11,0,3,2,3,No,Travel_Rarely,3,3,3,3
671,No,44,Male,Married,3,4,Other,Research & Development,5,Manager,0,26,2,2,1,4,19513,12,1,3,2,3,Yes,Travel_Rarely,4,4,1,4
675,No,22,Male,Married,6,1,Medical,Research & Development,1,Research Scientist,2,3,2,2,2,0,2773,20,0,4,3,3,No,Travel_Rarely,3,1,4,3
677,No,33,Male,Divorced,8,4,Marketing,Sales,2,Sales Executive,1,6,5,0,2,0,7104,12,0,3,3,3,No,Travel_Rarely,3,3,4,3
679,No,32,Female,Married,9,4,Life Sciences,Research & Development,2,Research Scientist,0,6,6,4,5,1,6322,12,1,3,2,3,Yes,Travel_Rarely,4,1,4,2
680,No,30,Female,Divorced,3,3,Medical,Research & Development,1,Research Scientist,0,1,1,0,0,1,2083,20,1,4,2,3,No,Travel_Frequently,3,3,3,3
682,No,53,Female,Single,1,1,Medical,Sales,2,Sales Executive,8,18,14,7,10,7,8381,20,0,4,2,3,No,Travel_Rarely,1,4,4,4
683,No,34,Male,Married,1,5,Life Sciences,Research & Development,1,Research Scientist,8,10,10,9,8,1,2691,12,1,3,4,3,No,Travel_Rarely,4,2,4,2
684,Yes,45,Female,Married,26,4,Life Sciences,Sales,2,Sales Executive,0,5,1,1,0,2,4286,14,2,3,4,3,No,Travel_Frequently,1,1,4,3
686,No,26,Female,Married,6,3,Life Sciences,Research & Development,1,Laboratory Technician,0,3,3,2,2,1,2659,13,1,3,2,3,Yes,Travel_Rarely,4,3,3,3
689,No,37,Male,Married,3,3,Other,Research & Development,3,Manufacturing Director,7,10,10,7,8,1,9434,15,1,3,2,3,No,Travel_Rarely,3,3,3,3
690,No,29,Female,Married,3,2,Medical,Sales,2,Sales Executive,1,6,6,0,2,1,5561,14,1,3,5,3,No,Travel_Rarely,3,2,1,2
